Evaluation/100instances/idleT_eval_std,Training/Update/global_critic_loss,Evaluation/100instances/pt_eval_mean,Training/Update/machine_actor_loss,_runtime,Training/Update/job_actor_loss,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/transT_eval_std,_step,Evaluation/100instances/obj_eval_std,Evaluation/100instances/transT_eval_mean,Evaluation/100instances/pt_eval_std,Evaluation/100instances/obj_eval_mean,_timestamp,Evaluation/100instances/mk_eval_std,Evaluation/100instances/idleT_eval_mean
,,,,8.019959863,,,,0,,,,,1745997314.35051,,
,,,,11.123382977,,,,1,,,,,1745997317.4168372,,
,,,,14.260018649,,,,2,,,,,1745997320.5907757,,
,,,,17.596195722,,,,3,,,,,1745997323.9268959,,
,0.41746655106544495,,0.3114736080169678,47.935136907,0.07711251825094223,,,4,,,,,1745997354.2657013,,
,,,,53.343004171,,,,5,,,,,1745997359.669181,,
,,,,56.582809198,,,,6,,,,,1745997362.9115644,,
,,,,59.707675459,,,,7,,,,,1745997366.038443,,
,,,,62.791373164,,,,8,,,,,1745997369.1177473,,
167.58178426731178,0.41909128427505493,525.0453362225517,0.09358140081167221,134.070882279,0.04360363259911537,509.20996036023365,37.45716474162289,9,98.5459747898876,275.971255493816,77.84133385409439,752.1188664314113,1745997440.401259,61.12121606418115,708.0562417488353
,,,,139.457848234,,,,10,,,,,1745997445.7885697,,
,,,,142.698734473,,,,11,,,,,1745997449.029543,,
,,,,146.077124019,,,,12,,,,,1745997452.4079173,,
,,,,149.227338466,,,,13,,,,,1745997455.5579925,,
,0.46449699997901917,,0.11536414921283722,179.711101572,0.06667782366275787,,,14,,,,,1745997486.0414295,,
,,,,185.31150844,,,,15,,,,,1745997491.6420093,,
,,,,188.719070332,,,,16,,,,,1745997495.0497222,,
,,,,191.960164763,,,,17,,,,,1745997498.2908487,,
,,,,195.218909616,,,,18,,,,,1745997501.5495281,,
168.46327508809864,0.5495240092277527,521.3520690733944,0.12211553007364273,265.96149948,0.18556968867778778,504.2334651493944,44.85678130319186,19,93.03290353477618,269.6897427546843,74.4527533044567,740.0642226197465,1745997572.2911682,57.429858534736944,689.7301509492347
,,,,271.219592564,,,,20,,,,,1745997577.5502572,,
,,,,274.300878889,,,,21,,,,,1745997580.6317227,,
,,,,277.184567375,,,,22,,,,,1745997583.5153937,,
,,,,280.06660497,,,,23,,,,,1745997586.397241,,
,0.5037469267845154,,0.041668910533189774,309.710043836,0.07775626331567764,,,24,,,,,1745997616.040454,,
,,,,315.168505881,,,,25,,,,,1745997621.4990015,,
,,,,318.342047799,,,,26,,,,,1745997624.6726964,,
,,,,321.451812165,,,,27,,,,,1745997627.7825403,,
,,,,324.544967006,,,,28,,,,,1745997630.875796,,
169.01371206004356,0.5425160527229309,525.0201495968294,0.10026901960372925,398.000643063,0.1419980376958847,490.6393385086415,43.39297551091406,29,98.09727299828334,269.21030113358506,77.62642899232897,716.9949950333189,1745997704.3306682,56.20815648055644,642.2228489110335
,,,,403.541575973,,,,30,,,,,1745997709.872088,,
,,,,406.73134987,,,,31,,,,,1745997713.058485,,
,,,,410.027981115,,,,32,,,,,1745997716.358568,,
,,,,413.268066408,,,,33,,,,,1745997719.5987444,,
,0.5141168832778931,,0.06527439504861832,443.809816082,0.09499913454055786,,,34,,,,,1745997750.1402118,,
,,,,449.42663882,,,,35,,,,,1745997755.7573488,,
,,,,452.735334288,,,,36,,,,,1745997759.0648756,,
,,,,455.888810066,,,,37,,,,,1745997762.21964,,
,,,,459.476458817,,,,38,,,,,1745997765.8071961,,
163.82248002426613,0.5162683129310608,523.2972243815809,0.05641801282763481,531.126653801,0.11791997402906418,489.35743279422275,44.19842720021167,39,99.94514734873418,264.67827436373295,76.79278226980335,715.6810129511068,1745997837.457253,54.55371465747797,644.2087380200969
,,,,536.542103783,,,,40,,,,,1745997842.872521,,
,,,,539.651379055,,,,41,,,,,1745997845.981822,,
,,,,542.879317123,,,,42,,,,,1745997849.208324,,
,,,,546.024308714,,,,43,,,,,1745997852.354369,,
,0.5629385113716125,,0.09610049426555634,576.442581849,0.19660584628582,,,44,,,,,1745997882.7732108,,
,,,,581.86648076,,,,45,,,,,1745997888.1971784,,
,,,,584.955085854,,,,46,,,,,1745997891.2858624,,
,,,,588.207986033,,,,47,,,,,1745997894.5387716,,
,,,,591.515898701,,,,48,,,,,1745997897.8466356,,
169.60473136834253,0.6409122347831726,523.7806712981582,0.17268747091293335,663.070131069,0.13034196197986603,487.6423003616928,40.58661124037682,49,96.04989162459637,268.6227591845926,76.14516632104498,713.0897772448543,1745997969.4006705,58.87649719470712,636.9900918599884
,,,,668.717853338,,,,50,,,,,1745997975.0486717,,
,,,,671.935366393,,,,51,,,,,1745997978.2661004,,
,,,,674.979376831,,,,52,,,,,1745997981.3088984,,
,,,,678.026618827,,,,53,,,,,1745997984.3569944,,
,0.5138759016990662,,0.06988116353750229,707.262918711,0.13098672032356262,,,54,,,,,1745998013.5933828,,
,,,,712.441953054,,,,55,,,,,1745998018.7726655,,
,,,,715.475401612,,,,56,,,,,1745998021.8040943,,
,,,,718.64870912,,,,57,,,,,1745998024.9793897,,
,,,,721.76072906,,,,58,,,,,1745998028.0915627,,
147.89784725339823,0.5589365363121033,522.8796833381253,0.10719472169876099,792.508420077,0.15806584060192108,477.77352707607577,39.804362330149445,59,89.78550705093883,264.74476197479237,76.63335297024383,700.0498070067754,1745998098.8387628,53.172682989720954,617.0989261153408
,,,,797.875395914,,,,60,,,,,1745998104.2062747,,
,,,,800.938585663,,,,61,,,,,1745998107.2670567,,
,,,,803.953626091,,,,62,,,,,1745998110.284447,,
,,,,806.981774112,,,,63,,,,,1745998113.3127122,,
,0.47861239314079285,,0.010530668310821056,836.787405424,0.06717144697904587,,,64,,,,,1745998143.1167805,,
,,,,842.316744906,,,,65,,,,,1745998148.647551,,
,,,,845.398024752,,,,66,,,,,1745998151.7288032,,
,,,,848.433383952,,,,67,,,,,1745998154.7629662,,
,,,,851.500490374,,,,68,,,,,1745998157.8313136,,
168.5036105308599,0.581481397151947,522.9538023011705,0.11148042976856232,920.544119498,0.17452307045459747,477.75952757877417,42.02912785671682,69,96.95856834635504,267.0610693816104,75.85426044501848,702.632512824125,1745998226.8745685,53.28191536453325,622.337417489562
,,,,925.860510163,,,,70,,,,,1745998232.1912837,,
,,,,928.919293947,,,,71,,,,,1745998235.2501905,,
,,,,931.976761775,,,,72,,,,,1745998238.3076432,,
,,,,935.020683691,,,,73,,,,,1745998241.3476987,,
,0.5167703628540039,,-0.001208940870128572,964.646262039,0.020868144929409027,,,74,,,,,1745998270.9767306,,
,,,,970.090036377,,,,75,,,,,1745998276.4208355,,
,,,,973.243930519,,,,76,,,,,1745998279.5745287,,
,,,,976.261988272,,,,77,,,,,1745998282.5927103,,
,,,,979.282029757,,,,78,,,,,1745998285.612896,,
160.21607889805526,0.5539274215698242,521.2107307553139,0.13052640855312347,1048.586842856,0.08005548268556595,481.17777208159197,45.98947585162113,79,95.23787605728138,261.5669448953505,74.93253693653008,703.4648483885799,1745998354.9171808,52.817043240180325,625.4901456868679
,,,,1053.979808751,,,,80,,,,,1745998360.3106563,,
,,,,1056.989938615,,,,81,,,,,1745998363.3208213,,
,,,,1060.0511204,,,,82,,,,,1745998366.3815172,,
,,,,1063.129327598,,,,83,,,,,1745998369.46019,,
,0.510137677192688,,0.004477397538721561,1092.612239396,0.02984418347477913,,,84,,,,,1745998398.9430318,,
,,,,1097.890729477,,,,85,,,,,1745998404.2215528,,
,,,,1100.881520255,,,,86,,,,,1745998407.2123797,,
,,,,1103.782123559,,,,87,,,,,1745998410.1123145,,
,,,,1106.803592587,,,,88,,,,,1745998413.1344483,,
156.5492683768603,0.48459768295288086,525.1129931254454,0.07877472788095474,1182.619965132,0.09204282611608505,477.58446019529794,45.366242772566146,89,94.5256291253829,260.18491507104346,77.05421454407917,698.5128705490091,1745998488.9499755,53.62015944799713,613.4922655162577
,,,,1188.353600423,,,,90,,,,,1745998494.6843374,,
,,,,1191.344302093,,,,91,,,,,1745998497.6751761,,
,,,,1194.298225178,,,,92,,,,,1745998500.6290698,,
,,,,1197.320977929,,,,93,,,,,1745998503.651778,,
,0.5542043447494507,,0.0063836476765573025,1226.378297577,0.09405124187469482,,,94,,,,,1745998532.7087798,,
