_step,_runtime,_timestamp,Training/Update/machine_actor_loss,Training/Update/job_actor_loss,Training/Update/global_critic_loss,Evaluation/100instances/mk_eval_std,Evaluation/100instances/pt_eval_std,Evaluation/100instances/transT_eval_std,Evaluation/100instances/idleT_eval_mean,Evaluation/100instances/transT_eval_mean,Evaluation/100instances/obj_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/pt_eval_mean,Evaluation/100instances/obj_eval_mean
0,10.651858793,1746507848.5245287,,,,,,,,,,,,,
1,15.461449568,1746507853.3334584,,,,,,,,,,,,,
2,20.287454086,1746507858.1605322,,,,,,,,,,,,,
3,24.988373941,1746507862.861718,,,,,,,,,,,,,
4,71.422724546,1746507909.295564,0.39569029211997986,0.1842794269323349,0.4892287254333496,,,,,,,,,,
5,78.330636618,1746507916.2037425,,,,,,,,,,,,,
6,83.042544122,1746507920.9157739,,,,,,,,,,,,,
7,87.927329959,1746507925.7993639,,,,,,,,,,,,,
8,92.863947839,1746507930.7372265,,,,,,,,,,,,,
9,203.125344777,1746508040.9980168,0.1276198923587799,0.13869845867156982,0.46878623962402344,87.84132294490628,73.97086801428307,40.06977593769424,858.5147195941579,265.40514034782683,143.54060968363046,689.8132040351784,293.87419058986325,522.8542659332537,881.5539038946011
10,208.624466463,1746508046.4976315,,,,,,,,,,,,,
11,212.316158311,1746508050.1893113,,,,,,,,,,,,,
12,216.811511172,1746508054.6847417,,,,,,,,,,,,,
13,221.48630111,1746508059.3594441,,,,,,,,,,,,,
14,262.251391991,1746508100.1243188,0.19104455411434174,0.1806740015745163,0.5871586799621582,,,,,,,,,,
15,269.325388781,1746508107.1984892,,,,,,,,,,,,,
16,273.144994616,1746508111.0181296,,,,,,,,,,,,,
17,277.452667126,1746508115.3259082,,,,,,,,,,,,,
18,281.793261324,1746508119.6664279,,,,,,,,,,,,,
19,375.672295225,1746508213.5450656,0.07164183259010315,0.13351628184318542,0.5042393207550049,88.41352791192615,75.33495407945802,43.736039054816615,847.676442042922,256.6395385980461,154.94148387940496,668.7920950569314,310.3463118738385,524.3287519560306,867.6468233419629
20,381.357421181,1746508219.2305539,,,,,,,,,,,,,
21,385.385294442,1746508223.258451,,,,,,,,,,,,,
22,389.524066197,1746508227.39718,,,,,,,,,,,,,
23,394.28298223,1746508232.1561325,,,,,,,,,,,,,
24,434.744291405,1746508272.617315,0.004442417528480291,-0.020167414098978043,0.4464397430419922,,,,,,,,,,
25,440.676313945,1746508278.5494006,,,,,,,,,,,,,
26,444.773357557,1746508282.6465251,,,,,,,,,,,,,
27,449.109657042,1746508286.982899,,,,,,,,,,,,,
28,453.222111136,1746508291.0952904,,,,,,,,,,,,,
29,547.523625109,1746508385.3964286,0.10435910522937775,0.10715419054031372,0.4708908200263977,78.33541824626239,76.97830145140462,36.8851515267209,731.5058326529501,271.9019433078207,109.92688871921277,599.3071751581809,209.11199195783877,521.6940237968262,795.3832013047469
30,553.62839115,1746508391.5014336,,,,,,,,,,,,,
31,557.636145057,1746508395.5093186,,,,,,,,,,,,,
32,561.779095337,1746508399.6168263,,,,,,,,,,,,,
33,565.952701337,1746508403.8259423,,,,,,,,,,,,,
34,605.072930829,1746508442.9457912,0.08601778000593185,0.17339611053466797,0.5320773124694824,,,,,,,,,,
35,610.45944784,1746508448.332504,,,,,,,,,,,,,
36,614.456668892,1746508452.3299246,,,,,,,,,,,,,
37,618.718456477,1746508456.591644,,,,,,,,,,,,,
38,622.854967418,1746508460.7282846,,,,,,,,,,,,,
