Evaluation/100instances/obj_eval_mean,_step,Training/Update/job_actor_loss,Evaluation/100instances/transT_eval_std,Evaluation/100instances/pt_eval_mean,_timestamp,Evaluation/100instances/transT_eval_mean,Evaluation/100instances/mk_eval_std,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/idleT_eval_mean,Training/Update/machine_actor_loss,Evaluation/100instances/pt_eval_std,_runtime,Training/Update/global_critic_loss,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/obj_eval_std
,0,,,,1745903993.3344955,,,,,,,9.046385286,,,
,1,,,,1745903997.274443,,,,,,,12.989834436,,,
,2,,,,1745904001.1562238,,,,,,,16.883072578,,,
,3,,,,1745904005.0425994,,,,,,,20.754237354,,,
,4,0.1575205773115158,,,1745904086.3743362,,,,,0.24144180119037628,,102.088610981,0.4923965632915497,,
,5,,,,1745904092.868231,,,,,,,108.581676435,,,
,6,,,,1745904098.718158,,,,,,,114.429862721,,,
,7,,,,1745904102.9714,,,,,,,118.684459234,,,
,8,,,,1745904106.8670413,,,,,,,122.578693346,,,
1111.7744371891033,9,0.07326550036668777,42.33823199844002,564.5165064582011,1745904277.2605877,204.53259705378318,137.44972233662895,551.6602832019954,1305.712262373894,0.1124689131975174,81.32241821114728,292.972495953,0.39790770411491394,806.9410256137713,269.8858969416983
,10,,,,1745904283.4647744,,,,,,,299.177738158,,,
,11,,,,1745904287.3828177,,,,,,,303.094471592,,,
,12,,,,1745904291.2634428,,,,,,,306.975059712,,,
,13,,,,1745904295.1023533,,,,,,,310.814063673,,,
,14,0.11701975017786026,,,1745904343.9667375,,,,,0.20447571575641632,,359.678545925,0.5514072179794312,,
,15,,,,1745904350.087307,,,,,,,365.79891234,,,
,16,,,,1745904354.0869136,,,,,,,369.798591438,,,
,17,,,,1745904357.8765206,,,,,,,373.588096923,,,
,18,,,,1745904361.824206,,,,,,,377.535849852,,,
1118.2349036467713,19,0.13949985802173615,45.38077329466037,551.7950264631855,1745904527.3987494,211.72174088176834,135.46469784127478,554.2519351897033,1270.6382650713642,0.19756798446178436,80.63050665917466,543.110655723,0.5647630095481873,867.2930971414936,261.33605462137217
,20,,,,1745904536.2874596,,,,,,,551.999102676,,,
,21,,,,1745904540.2124963,,,,,,,555.924110559,,,
,22,,,,1745904544.0815763,,,,,,,559.793198887,,,
,23,,,,1745904547.9388428,,,,,,,563.650476228,,,
,24,0.045353177934885025,,,1745904603.2247927,,,,,0.025997793301939964,,618.936938075,0.43262583017349243,,
,25,,,,1745904609.6684265,,,,,,,625.380155622,,,
,26,,,,1745904613.532777,,,,,,,629.244548593,,,
,27,,,,1745904617.5048592,,,,,,,633.216457276,,,
,28,,,,1745904621.3124454,,,,,,,637.024136687,,,
947.6397849679806,29,0.1584332287311554,37.57429891922933,490.15014153828787,1745904726.2229197,200.17473096299662,117.40921436852953,379.78894144084217,1033.5642274534273,0.13669227063655853,71.81884493349055,741.934788285,0.5300565361976624,745.2977279467378,198.39383624736752
,30,,,,1745904731.97167,,,,,,,747.685207644,,,
,31,,,,1745904735.808639,,,,,,,751.600731838,,,
,32,,,,1745904739.665887,,,,,,,755.377520874,,,
,33,,,,1745904743.6695487,,,,,,,759.382026665,,,
,34,0.12254184484481812,,,1745904786.2271976,,,,,0.13872800767421722,,801.939098819,0.49989327788352966,,
,35,,,,1745904792.1710453,,,,,,,807.882730211,,,
,36,,,,1745904796.1510766,,,,,,,811.862737601,,,
,37,,,,1745904800.110312,,,,,,,815.822054625,,,
,38,,,,1745904804.0272212,,,,,,,819.738846319,,,
905.3170118183393,39,0.08024495095014572,40.80417399861583,480.79714529888514,1745904910.4353886,211.99411417474678,84.57944053152693,325.8650202656532,989.842977039965,0.13221977651119232,68.12688204663863,926.1477313,0.5298810005187988,686.6553501196248,154.09841700766893
,40,,,,1745904916.5626965,,,,,,,932.274518353,,,
,41,,,,1745904920.5354705,,,,,,,936.247143543,,,
,42,,,,1745904924.612433,,,,,,,940.324208792,,,
,43,,,,1745904928.6659958,,,,,,,944.37781658,,,
,44,0.07790588587522507,,,1745904971.427916,,,,,0.06544419378042221,,987.139703619,0.4492609202861786,,
,45,,,,1745904977.6316764,,,,,,,993.343360229,,,
,46,,,,1745904981.5603812,,,,,,,997.272016494,,,
,47,,,,1745904985.4566615,,,,,,,1001.173981242,,,
,48,,,,1745904989.3699107,,,,,,,1005.087008126,,,
910.4326406338453,49,0.11755058914422989,36.67192524390659,474.8157319777704,1745905099.426847,218.5793040569893,94.55445354549765,284.2255634656177,1000.0021323986663,0.20692144334316254,68.67489415151923,1115.139018619,0.5504116415977478,691.9740851796821,145.37694549921292
,50,,,,1745905105.4429002,,,,,,,1121.154558267,,,
,51,,,,1745905109.4565456,,,,,,,1125.168725628,,,
,52,,,,1745905113.3998837,,,,,,,1129.111556198,,,
,53,,,,1745905117.3205833,,,,,,,1133.032254655,,,
,54,0.10614754259586334,,,1745905161.8134692,,,,,0.07500380277633667,,1177.52583478,0.5304705500602722,,
,55,,,,1745905168.119581,,,,,,,1183.831273714,,,
,56,,,,1745905172.0794547,,,,,,,1187.795834893,,,
,57,,,,1745905176.0427883,,,,,,,1191.754385843,,,
,58,,,,1745905180.1553662,,,,,,,1195.866987779,,,
843.1568930048718,59,0.12566958367824554,38.17046493237273,471.3283466181557,1745905296.492427,211.66716512444924,86.64027993968413,292.08420125339927,915.2934776669822,0.11197211593389511,67.86349871587633,1312.205791763,0.5711762309074402,615.4368256648172,147.99131300288943
,60,,,,1745905302.7708073,,,,,,,1318.484904815,,,
,61,,,,1745905306.7598052,,,,,,,1322.471548496,,,
,62,,,,1745905310.7747953,,,,,,,1326.486443823,,,
,63,,,,1745905314.779173,,,,,,,1330.490820994,,,
,64,0.10200047492980957,,,1745905359.0627537,,,,,0.07093506306409836,,1374.774623907,0.4961094558238983,,
,65,,,,1745905365.732633,,,,,,,1381.444385654,,,
,66,,,,1745905369.7284222,,,,,,,1385.440085884,,,
,67,,,,1745905373.6622477,,,,,,,1389.373888663,,,
