_step,_runtime,_timestamp,Training/Update/machine_actor_loss,Training/Update/job_actor_loss,Training/Update/global_critic_loss,Evaluation/100instances/mk_eval_std,Evaluation/100instances/pt_eval_std,Evaluation/100instances/transT_eval_std,Evaluation/100instances/idleT_eval_mean,Evaluation/100instances/transT_eval_mean,Evaluation/100instances/obj_eval_std,Evaluation/100instances/mk_eval_mean,Evaluation/100instances/idleT_eval_std,Evaluation/100instances/pt_eval_mean,Evaluation/100instances/obj_eval_mean
0,8.803724377,1746690582.891816,,,,,,,,,,,,,
1,12.702595633,1746690586.790976,,,,,,,,,,,,,
2,16.461375576000002,1746690590.5497508,,,,,,,,,,,,,
3,20.804730377,1746690594.8930874,,,,,,,,,,,,,
4,58.327857354,1746690632.4160316,0.31937095522880554,0.04782987758517265,0.4672090709209442,,,,,,,,,,
5,64.327584206,1746690638.4159024,,,,,,,,,,,,,
6,68.235926657,1746690642.3242517,,,,,,,,,,,,,
7,71.885777686,1746690645.9741626,,,,,,,,,,,,,
8,75.520187232,1746690649.6084979,,,,,,,,,,,,,
9,164.953406443,1746690739.0410557,0.10757026821374893,0.08133023232221603,0.40646892786026,92.13163074393309,76.63673004820791,40.190260845092794,1193.190465956668,261.32761126511866,149.70695574295573,674.3643719643984,280.7130330832772,522.3450328697313,1008.2254705693429
10,170.887337079,1746690744.97566,,,,,,,,,,,,,
11,174.710890864,1746690748.7992458,,,,,,,,,,,,,
12,178.878687554,1746690752.96712,,,,,,,,,,,,,
13,182.544275931,1746690756.632694,,,,,,,,,,,,,
14,218.20349897,1746690792.2917824,0.06194943189620972,0.044470686465501785,0.39831653237342834,,,,,,,,,,
15,223.860929367,1746690797.94935,,,,,,,,,,,,,
16,227.9774289,1746690802.0658884,,,,,,,,,,,,,
17,232.195215575,1746690806.2836633,,,,,,,,,,,,,
18,236.196936976,1746690810.2853458,,,,,,,,,,,,,
19,319.87772567,1746690893.965703,0.062416162341833115,0.07582184672355652,0.41934749484062195,99.46863792305476,74.18522126207829,42.51046174352885,1143.1303347462565,253.31445028804384,163.53826608564782,669.4063307410916,329.5265064257792,523.7489731776476,985.177145523607
20,326.002345785,1746690900.0906656,,,,,,,,,,,,,
21,329.99373794,1746690904.0822244,,,,,,,,,,,,,
22,333.893684127,1746690907.982143,,,,,,,,,,,,,
23,337.911057507,1746690911.9994748,,,,,,,,,,,,,
24,374.298634417,1746690948.3869934,0.08295262604951859,0.06660974025726318,0.45484524965286255,,,,,,,,,,
25,379.441712226,1746690953.5301118,,,,,,,,,,,,,
26,383.081719984,1746690957.170262,,,,,,,,,,,,,
27,386.873629166,1746690960.9620044,,,,,,,,,,,,,
28,390.515296812,1746690964.6036377,,,,,,,,,,,,,
29,478.582023318,1746691052.6701179,0.11018209904432297,0.11198434978723526,0.46213778853416443,90.40259787746687,78.57635031369712,38.94107504918464,1327.8002994971039,274.214935108421,159.6491616064069,661.1355817660267,307.45540472112833,524.8662057383391,1060.3638218222718
30,484.048755424,1746691058.137165,,,,,,,,,,,,,
31,487.549163441,1746691061.637618,,,,,,,,,,,,,
32,491.066463158,1746691065.1549592,,,,,,,,,,,,,
33,494.881693213,1746691068.9701073,,,,,,,,,,,,,
34,531.882237285,1746691105.9703135,0.13022075593471527,0.12395184487104416,0.42992493510246277,,,,,,,,,,
35,537.440459631,1746691111.5288353,,,,,,,,,,,,,
36,540.834352058,1746691114.922939,,,,,,,,,,,,,
37,544.700157709,1746691118.7885895,,,,,,,,,,,,,
38,548.406977434,1746691122.4953718,,,,,,,,,,,,,
39,633.149217087,1746691207.2372565,0.044312816113233566,0.05726773291826248,0.46924248337745667,79.33002694713117,76.93003069276699,34.451010718781994,1267.568564070227,276.4685708724562,153.83294128446238,630.4330448173855,297.8030315367077,524.1890071635661,1024.1699605949627
40,639.459756803,1746691213.5452104,,,,,,,,,,,,,
41,643.28137674,1746691217.3698328,,,,,,,,,,,,,
42,647.149685691,1746691221.2382004,,,,,,,,,,,,,
43,650.914950315,1746691225.0033655,,,,,,,,,,,,,
44,686.023589295,1746691260.1118238,0.08554720878601074,-0.03791555389761925,0.3761806786060333,,,,,,,,,,
45,692.081544779,1746691266.1699297,,,,,,,,,,,,,
46,695.840032691,1746691269.9283018,,,,,,,,,,,,,
47,699.873279934,1746691273.9616048,,,,,,,,,,,,,
48,703.915403082,1746691278.003843,,,,,,,,,,,,,
49,789.214500758,1746691363.302545,0.16053259372711182,0.037197381258010864,0.44013747572898865,149.6990494218151,76.7197029236931,56.75433479147949,1377.6685053720714,224.60697588219466,259.7134358268549,790.3238080373818,511.6274855032969,525.2090222547608,1122.2019294421248
50,794.582520932,1746691368.6709564,,,,,,,,,,,,,
51,798.333745441,1746691372.4222128,,,,,,,,,,,,,
52,802.358207725,1746691376.4466305,,,,,,,,,,,,,
53,806.353002071,1746691380.44133,,,,,,,,,,,,,
54,843.978155079,1746691418.066441,0.19031380116939545,0.2326923906803131,0.4426622986793518,,,,,,,,,,
55,849.869844548,1746691423.9579842,,,,,,,,,,,,,
56,853.561304284,1746691427.6496708,,,,,,,,,,,,,
57,856.965560401,1746691431.0540397,,,,,,,,,,,,,
58,860.387007816,1746691434.4755054,,,,,,,,,,,,,
59,947.346366767,1746691521.4343965,0.13751181960105896,0.03933611512184143,0.4302796423435211,118.94822146222621,77.11535798217733,51.92890117254155,1330.385728443378,233.158047453438,211.99607408227766,740.8443972779095,430.9877892712057,526.8527861798968,1085.8647742511614
60,953.544439268,1746691527.6328666,,,,,,,,,,,,,
61,957.212656478,1746691531.301002,,,,,,,,,,,,,
62,960.898720852,1746691534.9872227,,,,,,,,,,,,,
63,964.777769979,1746691538.8661993,,,,,,,,,,,,,
64,1001.244938387,1746691575.3330889,0.11616521328687668,0.0970245823264122,0.4528355598449707,,,,,,,,,,
65,1007.369580174,1746691581.4579153,,,,,,,,,,,,,
66,1011.519510699,1746691585.6079059,,,,,,,,,,,,,
67,1015.369404492,1746691589.4578469,,,,,,,,,,,,,
68,1019.386041717,1746691593.4745233,,,,,,,,,,,,,
69,1104.921250413,1746691679.009343,0.09635815769433975,0.05962865427136421,0.42002221941947937,114.06412041137924,73.92177439084298,47.66189607933981,1394.2481957878283,238.62400565669006,208.24071481747796,705.9307535151506,434.8817173345033,524.9426247928125,1097.7734307696546
70,1110.587153442,1746691684.6753812,,,,,,,,,,,,,
71,1114.589564594,1746691688.6779797,,,,,,,,,,,,,
72,1118.534122184,1746691692.6224408,,,,,,,,,,,,,
73,1122.533451679,1746691696.621966,,,,,,,,,,,,,
74,1158.189753542,1746691732.2780654,0.15727604925632477,0.06964155286550522,0.4757692515850067,,,,,,,,,,
75,1164.047956661,1746691738.1363344,,,,,,,,,,,,,
76,1167.864593168,1746691741.95317,,,,,,,,,,,,,
77,1171.672752421,1746691745.7612092,,,,,,,,,,,,,
78,1175.773617296,1746691749.8620133,,,,,,,,,,,,,
79,1264.132619403,1746691838.2205887,0.09655366092920303,0.031792499125003815,0.44191107153892517,108.03441504085784,74.36459842439919,49.38511644702807,1472.926100216892,241.36970524399956,231.0744301584775,693.1613467931143,485.486241834647,524.5756443887806,1124.5391776083147
80,1269.956305817,1746691844.0446413,,,,,,,,,,,,,
81,1273.722700887,1746691847.8111649,,,,,,,,,,,,,
82,1276.966058222,1746691851.0545232,,,,,,,,,,,,,
83,1280.772759366,1746691854.8611815,,,,,,,,,,,,,
84,1317.357301414,1746691891.44559,0.05678620934486389,0.06753313541412354,0.4283086359500885,,,,,,,,,,
85,1323.057364931,1746691897.14582,,,,,,,,,,,,,
86,1326.508820622,1746691900.5972085,,,,,,,,,,,,,
87,1330.276852831,1746691904.3653884,,,,,,,,,,,,,
88,1333.80772899,1746691907.8962533,,,,,,,,,,,,,
89,1421.115046053,1746691995.2030628,0.05183978006243706,0.0679420754313469,0.4745800495147705,123.11595414435598,77.47728793452228,46.30555368178615,1416.26113493042,253.17397662173937,276.5867497204231,663.1661616568693,562.7729315712287,524.3605704505815,1092.1499421394965
90,1426.648806599,1746692000.7371368,,,,,,,,,,,,,
91,1430.598348049,1746692004.6868913,,,,,,,,,,,,,
92,1434.475401212,1746692008.5638983,,,,,,,,,,,,,
93,1438.047872816,1746692012.1361923,,,,,,,,,,,,,
94,1473.557173851,1746692047.6454725,0.015689825639128685,-0.0714901015162468,0.4244495928287506,,,,,,,,,,
95,1479.259011637,1746692053.3474863,,,,,,,,,,,,,
96,1483.084790589,1746692057.1733742,,,,,,,,,,,,,
97,1486.860870681,1746692060.9494066,,,,,,,,,,,,,
98,1491.105051763,1746692065.193537,,,,,,,,,,,,,
99,1578.911476899,1746692152.9996176,0.20579726994037628,0.17138363420963287,0.5720846056938171,89.71849593298695,76.96780858980581,45.412248556338575,1283.2401296010714,274.542793443761,163.33771818807259,616.5156441563828,320.0892173606482,524.5898957232007,1024.6468264810142
100,1585.14459978,1746692159.232938,,,,,,,,,,,,,
101,1588.938031112,1746692163.0264432,,,,,,,,,,,,,
102,1592.954087116,1746692167.0425258,,,,,,,,,,,,,
103,1597.036215936,1746692171.124618,,,,,,,,,,,,,
104,1633.565737741,1746692207.654049,0.10886454582214355,0.06150537729263306,0.539547860622406,,,,,,,,,,
105,1639.39620377,1746692213.4845092,,,,,,,,,,,,,
106,1643.511460048,1746692217.5997741,,,,,,,,,,,,,
107,1647.555786447,1746692221.644198,,,,,,,,,,,,,
108,1651.273421181,1746692225.3619242,,,,,,,,,,,,,
109,1737.278225841,1746692311.3663867,0.009328670799732208,0.06079215928912163,0.4484107196331024,86.11503904457123,74.95408037506525,44.73409617541793,1266.3278245759748,260.9274943244863,148.12846435850605,618.9997213492074,274.02557332042164,523.9028977769409,1015.8776763457467
110,1742.953134224,1746692317.0414658,,,,,,,,,,,,,
